id,match_id,match_full_time,extra_full_time,player_id,back_number,player_name,player_last_name,team_id,team_name,event_time,event_period,is_side_changed,event_types,filtered_event_types,x,y,relative_player_id,relative_player_name,relative_player_last_name,relative_x,relative_y
32126802,25199,5400000,0,175821,20,Douglas Arthur,Silbeira Martins,9829,FC Hercules,247878,FIRST_HALF,True,passSucceeded passSucceededFrom12 passSucceededTo11 passSucceededFrom12To11 sidewaysPassSucceeded mediumPassSucceeded passSucceededFrom12 passSucceededTo11 passSucceededFrom12To11 sidewaysPassSucceeded mediumPassSucceeded,passSucceeded,0.848301,0.633171,175824,Simon,Thern,0.45585,0.659441
32126803,25199,5400000,0,175824,4,Simon,Thern,9829,FC Hercules,250402,FIRST_HALF,True,passFailed passFailedFrom11 passFailedTo18 passFailedFrom11To18 forwardPassFailed longPassFailed passReceived passFailedFrom11 passFailedTo18 passFailedFrom11To18 forwardPassFailed longPassFailed,passFailed passReceived,0.45585,0.659441,,,,0.849444,0.951475
32126804,25199,5400000,0,,,,,9829,FC Hercules,255000,FIRST_HALF,True,,,0.849444,0.951475,,,,,
32127400,25199,5400000,0,175803,25,Christian,Günter,9828,FC Cerberus,255243,FIRST_HALF,True,possession passSucceeded passSucceededFrom1 passSucceededTo1 passSucceededFrom1To1 forwardPassSucceeded shortPassSucceeded passSucceededFrom1 passSucceededTo1 passSucceededFrom1To1 forwardPassSucceeded shortPassSucceeded,passSucceeded possession,0.129702,0.0538226,175805,Ramiro,Ruiz,0.0834274,0.146864
32127401,25199,5400000,0,175805,6,Ramiro,Ruiz,9828,FC Cerberus,256438,FIRST_HALF,True,passReceived,passReceived,0.0834274,0.146864,,,,,
32127402,25199,5400000,0,175805,6,Ramiro,Ruiz,9828,FC Cerberus,257684,FIRST_HALF,True,passFailed passFailedFrom1 passFailedTo7 passFailedFrom1To7 forwardPassFailed mediumPassFailed passFailedFrom1 passFailedTo7 passFailedFrom1To7 forwardPassFailed mediumPassFailed,passFailed,0.0145138,0.160137,,,,0.112251,0.347898
32127403,25199,5400000,0,,,,,9828,FC Cerberus,259051,FIRST_HALF,True,,,0.112251,0.347898,,,,,
32126805,25199,5400000,0,175822,17,Joris,Gnagnon,9829,FC Hercules,259614,FIRST_HALF,True,possession,possession,0.854826,0.661768,,,,,
32126806,25199,5400000,0,175822,17,Joris,Gnagnon,9829,FC Hercules,261817,FIRST_HALF,True,passSucceeded passSucceededFrom15 passSucceededTo15 passSucceededFrom15To15 sidewaysPassSucceeded shortPassSucceeded passSucceededFrom15 passSucceededTo15 passSucceededFrom15To15 sidewaysPassSucceeded shortPassSucceeded,passSucceeded,0.812256,0.741257,175820,Zlatko,Junuzović,0.688173,0.717672
32126807,25199,5400000,0,175820,10,Zlatko,Junuzović,9829,FC Hercules,262860,FIRST_HALF,True,passFailed passFailedFrom15 passFailedTo17 passFailedFrom15To17 forwardPassFailed mediumPassFailed passReceived passFailedFrom15 passFailedTo17 passFailedFrom15To17 forwardPassFailed mediumPassFailed,passFailed passReceived,0.688173,0.717672,,,,0.643143,0.949857
32127404,25199,5400000,0,175801,28,Tomáš,Vlček,9828,FC Cerberus,264952,FIRST_HALF,True,intercept passSucceeded passSucceededFrom2 passSucceededTo1 passSucceededFrom2To1 sidewaysPassSucceeded shortPassSucceeded passSucceededFrom2 passSucceededTo1 passSucceededFrom2To1 sidewaysPassSucceeded shortPassSucceeded,intercept passSucceeded,0.353845,0.0581148,175803,Christian,Günter,0.191535,0.0695491
32126808,25199,5400000,0,,,,,9829,FC Hercules,265090,FIRST_HALF,True,,,0.643143,0.949857,,,,,
32127405,25199,5400000,0,175803,25,Christian,Günter,9828,FC Cerberus,267684,FIRST_HALF,True,passFailed passFailedFrom1 passFailedTo7 passFailedFrom1To7 forwardPassFailed longPassFailed passReceived passFailedFrom1 passFailedTo7 passFailedFrom1To7 forwardPassFailed longPassFailed,passFailed passReceived,0.191535,0.0695491,,,,0.235511,0.465113
32127406,25199,5400000,0,,,,,9828,FC Cerberus,269725,FIRST_HALF,True,,,0.235511,0.465113,,,,,
32126809,25199,5400000,0,175825,2,Conor,McAleny,9829,FC Hercules,270184,FIRST_HALF,True,possession,possession,0.748486,0.539499,,,,,
32126810,25199,5400000,0,175825,2,Conor,McAleny,9829,FC Hercules,271551,FIRST_HALF,True,passSucceeded passSucceededFrom12 passSucceededTo12 passSucceededFrom12To12 forwardPassSucceeded shortPassSucceeded passSucceededFrom12 passSucceededTo12 passSucceededFrom12To12 forwardPassSucceeded shortPassSucceeded,passSucceeded,0.813705,0.564466,175826,Richie,Loughty,0.931875,0.621907
32126811,25199,5400000,0,175826,19,Richie,Loughty,9829,FC Hercules,272742,FIRST_HALF,True,passReceived,passReceived,0.931875,0.621907,,,,,
32126812,25199,5400000,0,175826,19,Richie,Loughty,9829,FC Hercules,274367,FIRST_HALF,True,foulCommitted,foulCommitted,0.971974,0.673433,,,,,
32127407,25199,5400000,0,175809,10,Pierre Kunde,Malong,9828,FC Cerberus,274578,FIRST_HALF,True,foulConceded,foulConceded,0.0370133,0.324258,,,,,
32126813,25199,5400000,0,175822,17,Joris,Gnagnon,9829,FC Hercules,289134,FIRST_HALF,True,freeKick passSucceeded passSucceededFrom12 passSucceededTo12 passSucceededFrom12To12 backwardPassSucceeded shortPassSucceeded passSucceededFrom12 passSucceededTo12 passSucceededFrom12To12 backwardPassSucceeded shortPassSucceeded,freeKick,0.91263,0.646179,175825,Conor,McAleny,0.824892,0.514426
32126814,25199,5400000,0,175825,2,Conor,McAleny,9829,FC Hercules,290628,FIRST_HALF,True,passReceived,passReceived,0.824892,0.514426,,,,,
32126815,25199,5400000,0,175825,2,Conor,McAleny,9829,FC Hercules,291192,FIRST_HALF,True,passSucceeded passSucceededFrom12 passSucceededTo8 passSucceededFrom12To8 sidewaysPassSucceeded mediumPassSucceeded passSucceededFrom12 passSucceededTo8 passSucceededFrom12To8 sidewaysPassSucceeded mediumPassSucceeded,passSucceeded,0.792653,0.514794,175824,Simon,Thern,0.470901,0.440243
32126816,25199,5400000,0,175824,4,Simon,Thern,9829,FC Hercules,293173,FIRST_HALF,True,passReceived,passReceived,0.470901,0.440243,,,,,
32126817,25199,5400000,0,175824,4,Simon,Thern,9829,FC Hercules,296047,FIRST_HALF,True,passSucceeded passSucceededFrom8 passSucceededTo11 passSucceededFrom8To11 forwardPassSucceeded shortPassSucceeded passSucceededFrom8 passSucceededTo11 passSucceededFrom8To11 forwardPassSucceeded shortPassSucceeded,passSucceeded,0.4546,0.452925,175822,Joris,Gnagnon,0.576563,0.527273
32126818,25199,5400000,0,175822,17,Joris,Gnagnon,9829,FC Hercules,296934,FIRST_HALF,True,passSucceeded passSucceededFrom11 passSucceededTo9 passSucceededFrom11To9 backwardPassSucceeded shortPassSucceeded passReceived passSucceededFrom11 passSucceededTo9 passSucceededFrom11To9 backwardPassSucceeded shortPassSucceeded,passSucceeded passReceived,0.576563,0.527273,175825,Conor,McAleny,0.740381,0.424646
32126819,25199,5400000,0,175825,2,Conor,McAleny,9829,FC Hercules,298218,FIRST_HALF,True,passReceived,passReceived,0.740381,0.424646,,,,,
32126822,25199,5400000,0,175825,2,Conor,McAleny,9829,FC Hercules,301699,FIRST_HALF,True,passSucceeded passSucceededFrom12 passSucceededTo15 passSucceededFrom12To15 forwardPassSucceeded shortPassSucceeded passSucceededFrom12 passSucceededTo15 passSucceededFrom12To15 forwardPassSucceeded shortPassSucceeded,passSucceeded,0.84923,0.545316,175819,Magnus,Blakstad,0.870965,0.684628
32126823,25199,5400000,0,175819,9,Magnus,Blakstad,9829,FC Hercules,302875,FIRST_HALF,True,passSucceeded passSucceededFrom15 passSucceededTo15 passSucceededFrom15To15 forwardPassSucceeded shortPassSucceeded passReceived passSucceededFrom15 passSucceededTo15 passSucceededFrom15To15 forwardPassSucceeded shortPassSucceeded,passSucceeded passReceived,0.870965,0.684628,175826,Richie,Loughty,0.972438,0.798195
32126824,25199,5400000,0,175826,19,Richie,Loughty,9829,FC Hercules,305096,FIRST_HALF,True,passReceived,passReceived,0.972438,0.798195,,,,,
